filename,exposuretime
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat112_bs.fits,2.0
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat113_bs.fits,2.0
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat114_bs.fits,1.0
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat115_bs.fits,0.5
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat116_bs.fits,0.25
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat117_bs.fits,0.10000000149
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat118_bs.fits,0.10000000149
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat119_bs.fits,0.0500000007451
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat120_bs.fits,1.5
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat121_bs.fits,2.5
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat122_bs.fits,3.0
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat123_bs.fits,4.0
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat124_bs.fits,6.0
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat125_bs.fits,8.0
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat126_bs.fits,8.0
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat127_bs.fits,10.0
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat128_bs.fits,12.0
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat129_bs.fits,14.0
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat130_bs.fits,16.0
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat131_bs.fits,15.0
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat132_bs.fits,14.0
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat133_bs.fits,14.0
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat134_bs.fits,14.0
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat135_bs.fits,13.0
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat136_bs.fits,11.0
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat137_bs.fits,9.0
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat138_bs.fits,7.0
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat139_bs.fits,5.0
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat140_bs.fits,5.0
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat141_bs.fits,4.0
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat142_bs.fits,3.5
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat143_bs.fits,4.5
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat144_bs.fits,5.5
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat145_bs.fits,6.5
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat146_bs.fits,7.5
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat147_bs.fits,6.0
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat148_bs.fits,3.5
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat149_bs.fits,4.75
/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat150_bs.fits,25.0
