,filename,exposuretime,mean,stddev,mean_nbs,stddev_nbs
1,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat113_bs.fits,2.0,7736.0,99.88,8380.0,105.3
2,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat114_bs.fits,1.0,3929.0,73.45,4577.0,68.4
3,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat115_bs.fits,0.5,2019.0,48.73,2670.0,52.95
4,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat116_bs.fits,0.25,1070.0,35.96,1722.0,37.35
5,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat117_bs.fits,0.10000000149,496.4,24.29,1150.0,26.16
6,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat118_bs.fits,0.10000000149,494.3,25.73,1144.0,26.27
7,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat119_bs.fits,0.0500000007451,321.1,20.56,974.9,20.86
8,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat120_bs.fits,1.5,5826.0,92.35,6473.0,94.39
9,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat121_bs.fits,2.5,9590.0,113.6,10233.0,118.1
10,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat122_bs.fits,3.0,11519.0,120.9,12165.0,129.8
11,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat123_bs.fits,4.0,15346.0,148.0,15987.0,144.5
12,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat124_bs.fits,6.0,22896.0,199.9,23546.0,193.1
13,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat125_bs.fits,8.0,30316.0,230.0,30941.0,222.3
14,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat126_bs.fits,8.0,30490.0,226.1,31123.0,217.4
15,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat127_bs.fits,10.0,37951.0,255.1,38583.0,268.6
16,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat128_bs.fits,12.0,45509.0,298.9,46135.0,316.6
17,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat129_bs.fits,14.0,53001.0,335.3,53578.0,324.4
19,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat131_bs.fits,15.0,56825.0,350.6,57428.0,354.5
20,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat132_bs.fits,14.0,52823.0,338.8,53411.0,338.9
21,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat133_bs.fits,14.0,52843.0,321.8,53451.0,340.9
22,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat134_bs.fits,14.0,52795.0,320.1,53405.0,333.6
23,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat135_bs.fits,13.0,49245.0,308.0,49855.0,310.2
24,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat136_bs.fits,11.0,41346.0,285.2,41956.0,283.0
25,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat137_bs.fits,9.0,33853.0,249.2,34469.0,239.7
26,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat138_bs.fits,7.0,26331.0,201.3,26950.0,196.5
27,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat139_bs.fits,5.0,18891.0,175.3,19507.0,174.5
28,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat140_bs.fits,5.0,18887.0,167.4,19513.0,169.1
29,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat141_bs.fits,4.0,15196.0,160.5,15841.0,155.2
30,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat142_bs.fits,3.5,13221.0,143.4,13862.0,147.4
31,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat143_bs.fits,4.5,16909.0,160.7,17550.0,162.4
32,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat144_bs.fits,5.5,20665.0,180.0,21300.0,177.9
33,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat145_bs.fits,6.5,24418.0,196.3,25055.0,201.7
34,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat146_bs.fits,7.5,28150.0,212.1,28780.0,208.1
35,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat147_bs.fits,6.0,22564.0,181.5,23196.0,192.6
36,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat148_bs.fits,3.5,13157.0,142.6,13803.0,137.1
37,/home/users/nannau/A329/iraf/lab2/170918/flat/flat_bias/flat149_bs.fits,4.75,17841.0,161.1,18477.0,163.5
